Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-my-ig.json	2941	-	0	0	0	0	0	0	9	1123	0	0	0	0	0	0	0	0	0	0	167	206	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-MyPatient.json	1110	73	0	0	0	0	0	2284	0	2284	0	0	1	0	0	0	0	4	0	0	395	3162	0	0	0	25	0	1
fsh-generated/resources/ValueSet-MyValueSet.json	217	13	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	9	13913	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-MyLogicalModel.json	1410	172	0	0	0	0	0	269	0	282	0	0	0	0	0	0	0	0	0	0	21	168	0	0	0	2	0	0
fsh-generated/resources/Provenance-MyValueSet-initial-history.json	929	19	0	0	0	0	0	0	1	202	0	0	0	0	0	0	0	0	0	18	14	20	0	0	0	0	0	0
